Item_Item_Description,Item__No__,Item__Base_Unit_of_Measure_,Item_Inventory,Qty__on_Sales_Order_,Item__Qty__on_Purch__Order_,QtyAvailable,Av,Clifton,Clifton 8006,UB,UB Clifton,UB Clifton 8006,Total Sec + Clif,Total UB,Total
I Am Magic Concealer - J23,1000076,EA,"7,325.",-14.,0.,"7,311.","7,311.",0.,0.,0.,0.,0.,"7,311.",0.,"7,311."
I Am Magic Concealer - J24,1000077,EA,"8,540.",-17.,0.,"8,523.","8,523.",0.,0.,0.,0.,0.,"8,523.",0.,"8,523."
I Am Magic Concealer - J03,1000078,EA,712.,-4.,0.,708.,708.,0.,"11,520.",0.,0.,0.,"12,228.",0.,"12,228."
I Am Magic Concealer - J04,1000079,EA,"3,023.",-8.,0.,"3,015.","3,015.","27,684.",0.,0.,0.,0.,"30,699.",0.,"30,699."
I Am Magic Concealer - J05,1000080,EA,"1,283.",-9.,0.,"1,274.","1,274.","17,280.",0.,0.,0.,0.,"18,554.",0.,"18,554."
I Am Magic Concealer - J06,1000081,EA,"2,728.",-17.,0.,"2,711.","2,711.","20,592.",0.,0.,0.,0.,"23,303.",0.,"23,303."
I Am Magic Concealer - J07,1000082,EA,"7,073.",-26.,0.,"7,047.","7,047.",0.,0.,0.,0.,0.,"7,047.",0.,"7,047."
I Am Magic Concealer - J08,1000083,EA,"7,002.",-34.,0.,"6,968.","6,968.",0.,0.,0.,0.,0.,"6,968.",0.,"6,968."
I Am Magic Concealer - J09,1000084,EA,"13,734.00",-479.00,0.00,"13,255.00","13,255.",0.,0.,0.,0.,0.,"13,255.",0.,"13,255."
Afrique Eyeshadow Palette,1000085,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nomad,1000087,EA,425.,0.,0.,425.,425.,0.,0.,0.,0.,0.,425.,0.,425.
Love Gift,1000088,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Masquerade Large,1000090,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Masquerade Mini,1000091,EA,1.,0.,0.,1.,1.,0.,0.,0.,0.,0.,1.,0.,1.
The Berries Eyeshadow palette,1000092,EA,95.,0.,0.,95.,95.,0.,0.,0.,0.,0.,95.,0.,95.
The Chocolates Eyeshadow palette,1000093,EA,"2,800.",-398.,"10,000.","12,402.","2,402.",0.,0.,0.,0.,0.,"2,402.",0.,"2,402."
The Nudes Eyeshadow palette,1000094,EA,912.,-143.,"10,000.","10,769.",769.,0.,0.,0.,0.,0.,769.,0.,769.
The Violets Eyeshadow palette,1000095,EA,"13,898.",-173.,"3,088.","16,813.","13,725.",0.,0.,0.,0.,0.,"13,725.",0.,"13,725."
The Nubian,1000097,EA,"7,528.",-27.,0.,"7,501.","7,501.",0.,0.,0.,0.,0.,"7,501.",0.,"7,501."
The Nubian 2,1000098,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Nubian Mini,1000100,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Saharan 2,1000103,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
The Warrior 3,1000109,EA,"3,359.",-220.,0.,"3,139.","3,139.",0.,0.,0.,0.,0.,"3,139.",0.,"3,139."
I Am Magic Foundation: 100 Sudan,1000111,EA,"5,398.",-7.,0.,"5,391.","5,391.","8,100.",0.,0.,0.,0.,"13,491.",0.,"13,491."
I Am Magic Foundation: 110 Senegal,1000112,EA,"13,590.",-2.,0.,"13,588.","13,588.","3,600.",0.,0.,0.,0.,"17,188.",0.,"17,188."
I Am Magic Foundation: 120 Chad,1000113,EA,"14,309.",-3.,0.,"14,306.","14,306.",0.,0.,0.,0.,0.,"14,306.",0.,"14,306."
I Am Magic Foundation: 130 Mali,1000114,EA,535.,-111.,0.,424.,424.,0.,"5,400.",0.,0.,0.,"5,824.",0.,"5,824."
I Am Magic Foundation: 140 Angola,1000115,EA,"2,407.",-11.,0.,"2,396.","2,396.",0.,0.,0.,0.,0.,"2,396.",0.,"2,396."
I Am Magic Foundation: 150 Kano,1000116,EA,"3,516.",-103.,0.,"3,413.","3,413.",0.,0.,0.,0.,0.,"3,413.",0.,"3,413."
I Am Magic Foundation: 200 Kenya,1000117,EA,702.,-17.,0.,685.,685.,0.,0.,0.,0.,0.,685.,0.,685.
I Am Magic Foundation: 205 Tanzania,1000118,EA,"1,592.",-19.,0.,"1,573.","1,573.",0.,0.,0.,0.,0.,"1,573.",0.,"1,573."
I Am Magic Foundation: 210 Togo,1000119,EA,"5,012.",-98.,0.,"4,914.","4,914.",0.,0.,0.,0.,0.,"4,914.",0.,"4,914."
I Am Magic Foundation: 220 Dakar,1000120,EA,"8,616.",-19.,0.,"8,597.","8,597.","11,700.",0.,0.,0.,0.,"20,297.",0.,"20,297."
I Am Magic Foundation: 230 Malawi,1000121,EA,"1,225.",-53.,0.,"1,172.","1,172.",0.,0.,0.,0.,0.,"1,172.",0.,"1,172."
I Am Magic Foundation: 240 Lagos,1000122,EA,"2,387.",-30.,0.,"2,357.","2,357.",0.,0.,0.,0.,0.,"2,357.",0.,"2,357."
I Am Magic Foundation: 300 Gabon,1000123,EA,161.,-23.,0.,138.,138.,0.,0.,0.,0.,0.,138.,0.,138.
I Am Magic Foundation: 310 Burkina,1000124,EA,157.,-41.,0.,116.,116.,0.,0.,0.,0.,0.,116.,0.,116.
I Am Magic Foundation: 320 Zaria,1000125,EA,"2,579.",-14.,0.,"2,565.","2,565.",0.,0.,0.,0.,0.,"2,565.",0.,"2,565."
I Am Magic Foundation: 330 Accra,1000126,EA,231.,-116.,0.,115.,115.,0.,0.,0.,0.,0.,115.,0.,115.
I Am Magic Foundation: 340 Kampala,1000127,EA,28.,-45.,0.,-17.,-17.,0.,0.,0.,0.,0.,-17.,0.,-17.
I Am Magic Foundation: 350 Somalia,1000128,EA,"1,327.",-19.,0.,"1,308.","1,308.",0.,0.,0.,0.,0.,"1,308.",0.,"1,308."
I Am Magic Foundation: 400 Ethiopia,1000129,EA,"2,038.",-107.,0.,"1,931.","1,931.",0.,0.,0.,0.,0.,"1,931.",0.,"1,931."
I Am Magic Foundation: 410 Nairobi,1000130,EA,"1,141.",-32.,0.,"1,109.","1,109.",0.,0.,0.,0.,0.,"1,109.",0.,"1,109."
I Am Magic Foundation: 420 Havana,1000131,EA,72.00,-23.00,0.00,49.00,49.,0.,0.,0.,0.,0.,49.,0.,49.
I Am Magic Foundation: 430 Rio,1000132,EA,"2,939.",-38.,0.,"2,901.","2,901.",0.,0.,0.,0.,0.,"2,901.",0.,"2,901."
I Am Magic Foundation: 435 Punta Cana,1000133,EA,758.,-49.,0.,709.,709.,0.,0.,0.,0.,0.,709.,0.,709.
I Am Magic Foundation: 440 Savanna,1000134,EA,67.,-17.,0.,50.,50.,0.,0.,0.,0.,0.,50.,0.,50.
I Am Magic Foundation: 450 Casablanca,1000135,EA,"4,388.",-18.,0.,"4,370.","4,370.",0.,0.,0.,0.,0.,"4,370.",0.,"4,370."
I Am Magic Foundation: 500 Bogota,1000136,EA,"1,790.",-10.,0.,"1,780.","1,780.",0.,0.,0.,0.,0.,"1,780.",0.,"1,780."
I Am Magic Foundation: 510 Aruba,1000137,EA,237.,-27.,0.,210.,210.,0.,0.,0.,0.,0.,210.,0.,210.
I Am Magic Foundation: 520 Tangier,1000138,EA,622.,-104.,0.,518.,518.,0.,0.,0.,0.,0.,518.,0.,518.
I Am Magic Foundation: 530 Ibiza,1000139,EA,"7,182.",-105.,0.,"7,077.","7,077.",0.,0.,0.,0.,0.,"7,077.",0.,"7,077."
I Am Magic Foundation: 540 Giza,1000140,EA,"4,573.",-97.,0.,"4,476.","4,476.",0.,0.,0.,0.,0.,"4,476.",0.,"4,476."
I Am Magic Foundation: 550 Martinique,1000141,EA,"3,503.",-199.,0.,"3,304.","3,304.",0.,0.,0.,0.,0.,"3,304.",0.,"3,304."
I Am Magic Foundation: 600 Cairo,1000142,EA,"5,212.",-16.,0.,"5,196.","5,196.",0.,0.,0.,0.,0.,"5,196.",0.,"5,196."
I Am Magic Foundation: 610 Cebu,1000143,EA,"3,677.",-98.,0.,"3,579.","3,579.",0.,0.,0.,0.,0.,"3,579.",0.,"3,579."
I Am Magic Foundation: 620 Fes,1000144,EA,"3,581.",-1.,0.,"3,580.","3,580.",0.,0.,0.,0.,0.,"3,580.",0.,"3,580."
I Am Magic Foundation: 630 Capri,1000145,EA,662.,-8.,0.,654.,654.,0.,0.,0.,0.,0.,654.,0.,654.
I Am Magic Foundation: 640 Malta,1000146,EA,"2,063.",-2.,0.,"2,061.","2,061.",0.,0.,0.,0.,0.,"2,061.",0.,"2,061."
I Am Magic Foundation: 650 Alexandria,1000147,EA,"2,598.",-99.,0.,"2,499.","2,499.",0.,"6,480.",0.,0.,0.,"8,979.",0.,"8,979."
I Am Magic Foundation: 700 Vienna,1000148,EA,"4,847.",-8.,0.,"4,839.","4,839.",0.,0.,0.,0.,0.,"4,839.",0.,"4,839."
I Am Magic Foundation: 710 Maricao,1000149,EA,983.,-11.,0.,972.,972.,0.,"7,560.",0.,0.,0.,"8,532.",0.,"8,532."
I Am Magic Foundation: 720 Bali,1000150,EA,"1,062.",-11.,0.,"1,051.","1,051.",0.,0.,0.,0.,0.,"1,051.",0.,"1,051."
I Am Magic Foundation: 730 Isla,1000151,EA,"4,947.",-7.,0.,"4,940.","4,940.",0.,0.,0.,0.,0.,"4,940.",0.,"4,940."
I Am Magic Foundation: 740 Marisol,1000152,EA,"16,724.00",-7,0,"16,717.00","16,717.",0.,0.,0.,0.,0.,"16,717.",0.,"16,717."
Shade Sticks: Aberdeen,1000153,EA,"3,541.",0.,0.,"3,541.","3,541.","14,400.",0.,0.,"1,695.",0.,"17,941.","1,695.","19,636."
Shade Sticks: Abidjan,1000154,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Addis Ababa,1000155,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Barcelona,1000156,EA,"1,737.",0.,0.,"1,737.","1,737.","11,664.",0.,0.,0.,0.,"13,401.",0.,"13,401."
Shade Sticks: Belize,1000157,EA,"1,310.00",0.00,0.00,"1,310.00","1,310.","10,368.",0.,0.,817.,0.,"11,678.",817.,"12,495."
Shade Sticks: Benin,1000158,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Bolivia,1000159,EA,"2,640.",0.,0.,"2,640.","2,640.","12,960.",0.,0.,0.,0.,"15,600.",0.,"15,600."
Shade Sticks: Brasilia,1000160,EA,"5,911.",0.,0.,"5,911.","5,911.",0.,0.,0.,0.,0.,"5,911.",0.,"5,911."
Shade Sticks: Cameroon,1000161,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Congo,1000162,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Dominica,1000163,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Grenada,1000164,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks - Guinea,1000165,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Jacmel,1000166,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Katsina,1000167,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Lima,1000168,EA,"3,117.",0.,0.,"3,117.","3,117.","12,960.",0.,0.,0.,0.,"16,077.",0.,"16,077."
Shade Sticks: Luxor,1000169,EA,"2,446.",0.,0.,"2,446.","2,446.","12,960.",0.,0.,0.,0.,"15,406.",0.,"15,406."
Shade Sticks: Madagascar,1000170,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Manila,1000171,EA,"1,795.",0.,0.,"1,795.","1,795.","12,960.",0.,0.,0.,0.,"14,755.",0.,"14,755."
Shade Sticks: Marrakesh,1000172,EA,"1,755.",0.,0.,"1,755.","1,755.","10,368.",0.,0.,"4,157.",0.,"12,123.","4,157.","16,280."
Shade Sticks: Mauritania,1000174,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Mozambique,1000175,EA,0.00,0.00,0.00,0.00,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Namibia,1000176,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Nepal,1000177,EA,"2,332.",0.,0.,"2,332.","2,332.","10,368.",0.,0.,173.,0.,"12,700.",173.,"12,873."
Shade Sticks: Nicaragua,1000178,EA,"3,038.",0.,0.,"3,038.","3,038.","12,960.",0.,0.,0.,0.,"15,998.",0.,"15,998."
Shade Sticks: Panama,1000179,EA,"6,499.",0.,0.,"6,499.","6,499.",0.,0.,0.,0.,0.,"6,499.",0.,"6,499."
Shade Sticks: Sokoto,1000180,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Shade Sticks: Tokyo,1000181,EA,"4,291.",0.,0.,"4,291.","4,291.","14,400.",0.,0.,268.,0.,"18,691.",268.,"18,959."
Shade Sticks: Tunisia,1000182,EA,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
